🕘️更新时间,#genre#
2025-08-26 18:38:26,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=2b09d952702fe2c67ddad695faa4c27c&txTime=191b5db5ed0

🍄┃广东频道,#genre#
广州电视台影视频道,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=2b09d952702fe2c67ddad695faa4c27c&txTime=191b5db5ed0
广东珠江,http://117.141.162.238:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://satellitepull.cnr.cn/live/wxgdxwgb/playlist.m3u8
广东新闻,https://satellitepull.cnr.cn/live/wxgdxwgb/playlist.m3u8
广东新闻,http://117.141.162.238:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://121.29.169.55:8888/rtp/239.253.92.206:8108
广东卫视,http://121.29.169.55:7777/rtp/239.253.92.206:8108
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
广东卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=gdws
广东卫视,http://180.213.170.24:8188/rtp/239.5.1.18:5000
广东卫视,http://58.32.33.197:4022/rtp/239.45.3.230:5140
广东卫视,http://117.174.25.254:8188/rtp/239.0.0.70:5140
广东卫视,http://218.81.49.40:10010/rtp/239.45.3.230:5140
广东卫视,http://123.130.148.116:8888/rtp/239.253.248.90:8000
广东卫视,http://chiceren.myds.me:58888/rtp/239.254.200.56:8048
广东卫视,http://111.113.89.235:2000/rtp/239.121.5.180:8048
广东卫视,http://106.45.2.223:4000/rtp/239.121.4.118:8690
广东卫视,http://218.1.179.19:8701/rtp/239.45.3.230:5140
广东卫视,http://joyznm.i234.me:20000/udp/239.3.1.142:8048###des:1080P###HLS\\n
广东卫视,http://27.19.29.186:999/rtp/239.254.96.140:8914
广东民生,http://117.141.162.238:8181/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=dwqws
